Step,AgentID,Angle,Vision,Separation,CohereFactor,SeparateFactor,MatchFactor,NeighborDiffSum
2,10,1.3894440578939844,10,2,0.03,0.015,0.05,"[0, 0]"
2,11,0.8967922493466833,10,2,0.03,0.015,0.05,"[-4.978796231034735, 0.7212281435816199]"
2,12,5.093675683860613,10,2,0.03,0.015,0.05,"[0, 0]"
2,13,1.6867057948406705,10,2,0.03,0.015,0.05,"[0, 0]"
2,14,0.4862251314640087,10,2,0.03,0.015,0.05,"[-2.247753535426046, -0.15473731176095384]"
2,15,1.4265846589608637,10,2,0.03,0.015,0.05,"[5.295681447666752, 2.6724866905287]"
2,16,1.6642749744715193,10,2,0.03,0.015,0.05,"[0, 0]"
2,17,3.817913168582567,10,2,0.03,0.015,0.05,"[-1.7069476256492777, 0.3497728651658605]"
2,18,0.7727059766705118,10,2,0.03,0.015,0.05,"[0, 0]"
2,19,5.0460982154949665,10,2,0.03,0.015,0.05,"[0, 0]"
2,20,2.3716626815377486,10,2,0.03,0.015,0.05,"[2.3328753324759504, -1.1296539495798257]"
3,1,4.616652020319188,10,2,0.03,0.015,0.05,"[0, 0]"
3,2,0.5934812924868038,10,2,0.03,0.015,0.05,"[-2.127122152184242, -8.634313178463586]"
3,3,4.16742407119189,10,2,0.03,0.015,0.05,"[5.285654068411496, -8.050192519937852]"
3,4,5.917329226172756,10,2,0.03,0.015,0.05,"[1.2931849866719283, 1.912088059357984]"
3,5,1.853524673165773,10,2,0.03,0.015,0.05,"[0, 0]"
3,6,0.7091052573622423,10,2,0.03,0.015,0.05,"[-6.676649916686571, 7.322940518875711]"
3,7,1.3177858920082262,10,2,0.03,0.015,0.05,"[0, 0]"
3,8,0.16358388410209668,10,2,0.03,0.015,0.05,"[4.197467317851533, -0.0971086602901976]"
3,9,1.3015177492675267,10,2,0.03,0.015,0.05,"[0, 0]"
3,10,1.3894440578939844,10,2,0.03,0.015,0.05,"[0, 0]"
3,11,0.9164291718169344,10,2,0.03,0.015,0.05,"[-4.360322601899412, 1.0837586268222417]"
3,12,5.093675683860613,10,2,0.03,0.015,0.05,"[0, 0]"
3,13,1.6867057948406705,10,2,0.03,0.015,0.05,"[0, 0]"
3,14,0.5089684369748904,10,2,0.03,0.015,0.05,"[-1.780461683009932, -1.0388404305573573]"
